Chlpad1	Absidia_padenii_NRRL_2977
Absrep1	Absidia_repens_NRRL_1336
ATET	Acaulopage_tetraceros
Amyrou1	Amylomyces_rouxii_NRRL_5866
G230	Apophysomyces_elegans_B7760
G229	Apophysomyces_trapeziformis_B9324
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Aspni7	Aspergillus_niger_ATCC_1015
Atrsp2	Atractiellales_sp_PMI_95
Aurde3_1	Auricularia_subglabra_TFB10046_SS-5
Bacci1	Backusella_circina_FSU_941
N168	Basidiobolus_heterosporus_B8920
N161	Basidiobolus_meristosporus_B9252
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
Benpoi1	Benjaminiella_poitrasii_RSA_903
BZG36	Bifiguratus_adelaidae_AZ0501
Blatri1	Blakeslea_trispora_NRRL_2456
Arxad1	Blastobotrys_adeninivorans_LS3.Arxad1
Bcin	Botrytis_cinerea_B05.10
Calth2	Calcarisporiella_thermophila_CBS279
Canalb1	Candida_albicans_SC5314_Canalb1
CSTE	Capniomyces_stellatus_MIS-10-108.v1
Catan2	Catenaria_anguillulae_PL171_v2_Catan2
Cenge3	Cenococcum_geophilum_1.58
Cepal1_1	Cephaloascus_albidus_ATCC_66658
A0J61	Choanephora_cucurbitarum_KUS-F28377.v1
Cirumb1	Circinella_umbellata_NRRL_1351
ClaPMI390	Clavulina_sp_PMI_390
Coch	Cochlonema_odontosperma
Coemoj1	Coemansia_mojavensis_RSA_71
Coere1	Coemansia_reversa_NRRL_1564
Coespi1	Coemansia_spiralis_RSA_1278.v1
Cokrec1	Cokeromyces_recurvatus_NRRL_2243
Conco1	Conidiobolus_coronatus_NRRL_28638
N159	Conidiobolus_incongruus_B7586
Conth1	Conidiobolus_thromboides_FSU_785
Ccin	Coprinopsis_cinerea_okayama7_130
Cryne_JEC21_1	Cryptococcus_neoformans_JECCryne_JEC21_1
G680	Cunninghamella_bertholletiae_175
N158	Cunninghamella_bertholletiae_B7461
Cunech1	Cunninghamella_echinulata_NRRL_1382
G231	Cunninghamella_elegans_B9769
Cybja1	Cyberlindnera_jadinii_NRRL_Y-1542
Dacsp1	Dacryopinax_sp_DJM-731_SS1
Dicele1	Dichotomocladium_elegans_RSA_919-.v1.Dicele1
DimcrSC1	Dimargaris_cristalligena_RSA_468
Disorn1	Dissophora_ornata_CBS_347.77
Endsp1	Endogone_sp_FLAS_59071
DSO57	Entomophthora_muscae_Berkeley
Exova1	Exobasidium_vaccinii_MPITM
Fenlin1	Fennellomyces_sp_T-0311
BB559	Furculomyces_boomerangus_AUS-77-4
Gansp1	Ganoderma_sp_10597_SS1
Gigro1	Gigaspora_rosea
Gilper1	Gilbertella_persicaria_var_persicaria_CBS_190.32-T
Glotr1_1	Gloeophyllum_trabeum_ATCC_11539
Ganpr1	Gonapodya_prolifera_JEL478
Gonbut1	Gongronella_butleri_CBS_227_36
Halrad1	Halteromyces_radiatus_CBS_162.75
Helpul1	Helicostylum_pulchrum_RSA_2064
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Jamsp1	Jaminaea_sp_MCA_5214
Jimfl_AD_1	Jimgerdemannia_flammicorona_AD002
Jimfl_GMNB39_1	Jimgerdemannia_flammicorona_GMNB39
Jimlac1	Jimgerdemannia_lactiflua_OSC166217
Kicala1	Kickxella_alabastrina_RSA_675
Klac	Kluyveromyces_lactis_NRRL_Y-1140
Kpas	Komagataella_pastoris_GS115
G678	Lichtheimia_corymbifera_008-049
N169	Lichtheimia_corymbifera_B2541
